strategy,strategy_label,n_treated,n_control,state_baseline_epv,ipw_ate,aipw_ate,ci_low,ci_high,positivity_min_propensity,overlap,risk,execution,tactical_state,confidence,ci_excludes_zero,uplift_ci,ci_halfwidth,quality_score
s_third_man_combination,Use a third-man combination,430,323,0.059376361221779556,0.011597488102607939,0.01156520911397675,0.004564271169620384,0.01761266423839199,0.23878224446234628,0.31982644925196113,Medium execution risk; combinations fail under intense pressure without strong first touches.,Pattern - rehearsed combinations between three players.,final_third_vs_compact_defence,high,True,"[+0.005, +0.018]",0.006524196534385803,0.0050410125795909465
s_aggressive_counterpress,Trigger a more aggressive counter-press,249,504,0.059376361221779556,-0.00455795738786139,-0.004595097881866691,-0.010199528725900872,0.001460820427876663,0.20630585030225687,0.3287744753214489,High exposure if the first press is bypassed; leaves space in behind.,Trigger - immediate pressure on the first pass after loss.,final_third_vs_compact_defence,medium,False,"[-0.010, +0.001]",0.005830174576888767,-0.010425272458755458
s_mid_block_retreat,Retreat into a mid-block after loss,168,143,0.008021961414790996,-0.01741871137565322,0.01624298013001025,0.013637211135675571,0.01969623745254737,0.02,0.0215197985131392,Concedes territorial control and gives the opponent uncontested build-up.,Structural - repositioning below the ball at the moment of loss.,neutral_buildup,medium,True,"[+0.014, +0.020]",0.003029513158435899,0.01321346697157435
s_aggressive_counterpress,Trigger a more aggressive counter-press,400,1766,0.01073656509695291,-0.00031907318408844025,-0.00024280381647569878,-0.0027832695840930674,0.0017619072130074544,0.15976379863008813,0.18467219988765288,High exposure if the first press is bypassed; leaves space in behind.,Trigger - immediate pressure on the first pass after loss.,opponent_high_press,medium,False,"[-0.003, +0.002]",0.002272588398550261,-0.0025153922150259597
s_mid_block_retreat,Retreat into a mid-block after loss,264,1902,0.01073656509695291,-0.007028535174715647,-0.0014889357344650281,-0.004157993893522967,0.0010326932129299934,0.02,0.12387313042899496,Concedes territorial control and gives the opponent uncontested build-up.,Structural - repositioning below the ball at the moment of loss.,opponent_high_press,medium,False,"[-0.004, +0.001]",0.00259534355322648,-0.004084279287691508
s_third_man_combination,Use a third-man combination,169,1997,0.01073656509695291,-0.005285930445341084,-0.005105706056081205,-0.008045294744805264,-0.0016400617703672472,0.05326325983754162,0.07802409886792842,Medium execution risk; combinations fail under intense pressure without strong first touches.,Pattern - rehearsed combinations between three players.,opponent_high_press,medium,True,"[-0.008, -0.002]",0.0032026164872190083,-0.008308322543300214
s_aggressive_counterpress,Trigger a more aggressive counter-press,201,436,0.025032103610675042,0.0021889716277369957,0.0021108793695777993,-0.00469983672947419,0.008730732583797056,0.244295193923579,0.3155419012915436,High exposure if the first press is bypassed; leaves space in behind.,Trigger - immediate pressure on the first pass after loss.,opponent_low_block,medium,False,"[-0.005, +0.009]",0.006715284656635623,-0.0046044052870578235
s_third_man_combination,Use a third-man combination,627,10,0.025032103610675042,-0.012539353415780306,-0.012456567551883112,-0.030123843807685468,0.013473442755296272,0.9688542540309105,0.020689538341689604,Medium execution risk; combinations fail under intense pressure without strong first touches.,Pattern - rehearsed combinations between three players.,opponent_low_block,medium,False,"[-0.030, +0.013]",0.021798643281490872,-0.03425521083337398
s_aggressive_counterpress,Trigger a more aggressive counter-press,110,565,0.09162518518518518,0.008612726095659412,0.007562542937992665,-0.016305564190165277,0.03215180889930192,0.06364093742327333,0.1629627278533684,High exposure if the first press is bypassed; leaves space in behind.,Trigger - immediate pressure on the first pass after loss.,wide_overload,medium,False,"[-0.016, +0.032]",0.024228686544733598,-0.016666143606740933
s_third_man_combination,Use a third-man combination,84,591,0.09162518518518518,-0.001771399040499097,-0.0014026264331706,-0.027111204884093874,0.0228680091307442,0.02,0.12453486782181576,Medium execution risk; combinations fail under intense pressure without strong first touches.,Pattern - rehearsed combinations between three players.,wide_overload,medium,False,"[-0.027, +0.023]",0.024989607007419035,-0.026392233440589635
